index_scraped,Strasse,Nummer,Letter,Postleitzahl,Ort,Anzahl Zimmer,Flaeche m2,Preis CHF,Total,Schweiz,Ausland,Mann,Frau,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90 und mehr,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetrage-ner Partner-schaft,Aufgelöste Partnerschaft
,"""opencourts-oc""rougemontweg",3,,3027,bern,3.5,91,2200,13359,7821,5538,6611,6748,743,668,607,583,826,1032,1109,972,874,783,875,912,841,663,605,568,362,225,111,6108,5226,686,1300,2,32,3
,aarbergergasse,14,,3011,bern,,63,2500,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
,aarbergergasse,14,,3011,bern,,63,2750,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
,aarbergergasse,35,,3011,bern,2.5,,1545,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
,aarbergergasse,57,,3011,bern,2.5,99,2375,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
,aarbergergasse,52,,3011,bern,2.0,,1790,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
,aarstr.,102,,3005,bern,2.0,40,1500,4569,3754,815,2201,2368,246,237,211,192,182,285,345,399,342,354,346,327,267,259,195,189,105,45,43,2368,1654,142,383,0,20,2
,achillesbischoff-str.,7,,4053,basel,3.0,68,1540,21396,13168,8228,10499,10897,1100,787,665,685,1050,2011,2377,2066,1586,1330,1430,1417,1226,949,868,665,537,394,253,11287,7064,917,2027,1,89,11
,ackermannstr.,4,,8044,zuerich,3.0,,2420,11174,7642,3532,5364,5810,626,655,657,492,496,533,733,799,951,904,878,741,582,507,472,489,347,200,112,5443,4418,420,811,0,77,5
,ackermannstr.,4,,8044,zuerich,3.0,,2397,11174,7642,3532,5364,5810,626,655,657,492,496,533,733,799,951,904,878,741,582,507,472,489,347,200,112,5443,4418,420,811,0,77,5
,ackerstr.,44,,8005,zuerich,2.5,60,1930,15382,10386,4996,8496,6886,703,493,416,347,521,1740,2580,1928,1530,1224,1133,909,638,406,312,224,123,91,64,10004,3674,266,1168,2,219,48
