index_scraped,Strasse,Nummer,Letter,Postleitzahl,Ort,Anzahl Zimmer,Flaeche m2,Preis CHF,Total,Schweiz,Ausland,Mann,Frau,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90 und mehr,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetrage-ner Partner-schaft,Aufgelöste Partnerschaft
562_immo,"""opencourts-oc""rougemontweg",3,,3027,bern,3.5,91,2200,13359,7821,5538,6611,6748,743,668,607,583,826,1032,1109,972,874,783,875,912,841,663,605,568,362,225,111,6108,5226,686,1300,2,32,3
741_immo,aarbergergasse,14,,3011,bern,,63,2500,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
2249_home,aarbergergasse,14,,3011,bern,,63,2750,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
777_flat,aarbergergasse,35,,3011,bern,2.5,,1545,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
761_flat,aarbergergasse,57,,3011,bern,2.5,99,2375,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
2236_home,aarbergergasse,52,,3011,bern,2.0,,1790,4787,3838,949,2468,2319,198,92,76,64,189,588,709,518,394,334,318,314,259,189,197,155,107,57,29,3029,1114,127,478,0,33,6
705_flat,aarestr.,30,,3052,zollikofen,3.0,,1330,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
799_flat,aarestr.,2,,3052,zollikofen,3.5,77,1510,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
585_flat,aarhaldenstr.,2,,3052,zollikofen,4.0,91,1750,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
989_immo,aarstr.,102,,3005,bern,2.0,40,1500,4569,3754,815,2201,2368,246,237,211,192,182,285,345,399,342,354,346,327,267,259,195,189,105,45,43,2368,1654,142,383,0,20,2
1288_immo,achillesbischoff-str.,7,,4053,basel,3.0,68,1540,21396,13168,8228,10499,10897,1100,787,665,685,1050,2011,2377,2066,1586,1330,1430,1417,1226,949,868,665,537,394,253,11287,7064,917,2027,1,89,11
697_home,ackermannstr.,4,,8044,zuerich,3.0,,2420,11174,7642,3532,5364,5810,626,655,657,492,496,533,733,799,951,904,878,741,582,507,472,489,347,200,112,5443,4418,420,811,0,77,5
696_home,ackermannstr.,4,,8044,zuerich,3.0,,2397,11174,7642,3532,5364,5810,626,655,657,492,496,533,733,799,951,904,878,741,582,507,472,489,347,200,112,5443,4418,420,811,0,77,5
173_immo,ackerstr.,44,,8005,zuerich,2.5,60,1930,15382,10386,4996,8496,6886,703,493,416,347,521,1740,2580,1928,1530,1224,1133,909,638,406,312,224,123,91,64,10004,3674,266,1168,2,219,48
1501_flat,ackerstr.,3,,8302,kloten,3.5,86,2249,20419,13487,6932,10480,9939,997,941,870,929,1198,1638,1763,1701,1632,1544,1504,1398,1080,808,750,657,516,329,164,9249,8156,842,2069,3,77,22
1317_home,adlerstr.,32,,4052,basel,3.5,85,1560,21373,13875,7498,9950,11423,1037,898,821,705,850,1359,1769,1761,1595,1453,1353,1424,1143,1030,1025,1023,899,676,552,9700,7905,1486,2153,3,115,11
1490_immo,adlerstr.,32,,4052,basel,3.5,86,1840,21373,13875,7498,9950,11423,1037,898,821,705,850,1359,1769,1761,1595,1453,1353,1424,1143,1030,1025,1023,899,676,552,9700,7905,1486,2153,3,115,11
995_flat,adligenstr.,7,,6020,emmenbruecke,3.5,69,1480,23157,15019,8138,11697,11460,1215,1191,1169,1010,1396,1715,1799,1703,1522,1451,1573,1673,1510,1204,1029,821,624,360,192,10060,9918,1128,2030,1,16,4
832_flat,adligenstr.,7,,6020,emmenbruecke,4.5,84,1720,23157,15019,8138,11697,11460,1215,1191,1169,1010,1396,1715,1799,1703,1522,1451,1573,1673,1510,1204,1029,821,624,360,192,10060,9918,1128,2030,1,16,4
821_flat,adligenstr.,1,,6020,emmenbruecke,3.5,,1468,23157,15019,8138,11697,11460,1215,1191,1169,1010,1396,1715,1799,1703,1522,1451,1573,1673,1510,1204,1029,821,624,360,192,10060,9918,1128,2030,1,16,4
228_home,adligenswilerstr.,30,a,6006,luzern,,,250,17425,13867,3558,7969,9456,795,744,696,611,764,985,1184,1271,1169,1053,1176,1236,1046,1022,1033,922,787,546,385,7974,6698,1133,1578,2,29,10
1063_flat,aeckerwiesenstr.,24,,8400,winterthur,3.5,61,1695,40541,31889,8652,19923,20618,1972,1774,1706,1554,2258,4048,4257,3338,2832,2529,2738,2590,2036,1640,1453,1299,1073,827,617,21350,13547,1903,3606,1,117,17
776_flat,aegertenstr.,57,,3005,bern,4.0,,2790,4569,3754,815,2201,2368,246,237,211,192,182,285,345,399,342,354,346,327,267,259,195,189,105,45,43,2368,1654,142,383,0,20,2
950_immo,aegertenstr.,53,,3005,bern,1.5,25,1560,4569,3754,815,2201,2368,246,237,211,192,182,285,345,399,342,354,346,327,267,259,195,189,105,45,43,2368,1654,142,383,0,20,2
622_immo,aegertenstr.,54,,3005,bern,2.5,63,1850,4569,3754,815,2201,2368,246,237,211,192,182,285,345,399,342,354,346,327,267,259,195,189,105,45,43,2368,1654,142,383,0,20,2
621_immo,aegertenstr.,54,,3005,bern,2.5,63,1950,4569,3754,815,2201,2368,246,237,211,192,182,285,345,399,342,354,346,327,267,259,195,189,105,45,43,2368,1654,142,383,0,20,2
620_immo,aegertenstr.,54,,3005,bern,3.5,,2600,4569,3754,815,2201,2368,246,237,211,192,182,285,345,399,342,354,346,327,267,259,195,189,105,45,43,2368,1654,142,383,0,20,2
882_immo,aehrenweg,27,,3027,bern,3.0,,1440,13359,7821,5538,6611,6748,743,668,607,583,826,1032,1109,972,874,783,875,912,841,663,605,568,362,225,111,6108,5226,686,1300,2,32,3
518_home,aemtlerstr.,86,,8003,zuerich,2.5,55,3530,20458,13644,6814,10342,10116,1102,801,605,512,727,2464,3465,2618,1888,1369,1179,990,828,606,493,349,218,154,90,13632,4694,384,1587,1,137,21
516_home,aemtlerstr.,86,,8003,zuerich,2.5,49,3330,20458,13644,6814,10342,10116,1102,801,605,512,727,2464,3465,2618,1888,1369,1179,990,828,606,493,349,218,154,90,13632,4694,384,1587,1,137,21
1554_immo,aeschenvorstadt,48,/50,4051,basel,2.5,79,2470,9454,6096,3358,4616,4838,358,318,274,282,383,726,895,817,699,652,690,674,564,456,473,432,309,233,219,4881,2979,499,1013,2,71,9
1071_immo,aeschenvorstadt,24,,4051,basel,3.5,130,2930,9454,6096,3358,4616,4838,358,318,274,282,383,726,895,817,699,652,690,674,564,456,473,432,309,233,219,4881,2979,499,1013,2,71,9
377_flat,aeusserelangeheid,3,,4142,muenchenstein,3.0,62,1400,12059,8898,3161,5906,6153,592,575,577,521,671,742,818,756,778,792,957,976,744,614,593,489,368,301,195,5166,5091,726,1025,0,44,7
878_home,affolternstr.,115,,8050,zuerich,3.0,83,2046,29132,18270,10862,14904,14228,1640,1461,1297,1213,1543,3236,3651,2981,2439,1974,1729,1519,1111,868,724,619,482,370,275,16196,9608,892,2261,3,152,20
863_home,affolternstr.,10,,8050,zuerich,1.5,36,1660,29132,18270,10862,14904,14228,1640,1461,1297,1213,1543,3236,3651,2981,2439,1974,1729,1519,1111,868,724,619,482,370,275,16196,9608,892,2261,3,152,20
