Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF],Preis/Fläche [CHF/m2]
Baumackerstr. 47,8050,Zürich,1,18.0,1290.0,71.67
Schlösslistr.,8044,Zürich,2.5,75.0,2550.0,34.0
Käferholzstr. 52,8057,Zürich,3.5,100.0,3410.0,34.1
Stiglenstr. 39,8052,Zürich,2.5,55.0,1263.0,22.96
Forchstr. 315,8008,Zürich,2,46.0,1665.0,36.2
Uetlibergstr. 131,8045,Zürich,3,,1885.0,
Weststr. 196,8003,Zürich,3.5,90.0,3260.0,36.22
Allmendstr. 156,8041,Zürich,2.5,88.0,2598.0,29.52
Bachmannweg 41,8046,Zürich,2.5,71.0,1740.0,24.51
Gujerstr. 8,8050,Zürich,3,63.0,1850.0,29.37
Arminstr. 9,8050,Zürich,3.5,83.0,1995.0,24.04
Zürichbergstr. 233,8044,Zürich,1,37.0,1350.0,36.49
,8003,Zürich,2.5,50.0,2170.0,43.4
Dörflistr. 107,8050,Zürich,2,,1580.0,
Engelstr. 43,8004,Zürich,2.5,,1845.0,
Wannerstr. 28,8045,Zürich,2.5,103.0,2842.0,27.59
Im Sträler 9,8047,Zürich,4.5,97.0,2640.0,27.22
Hochstr. 63,8044,Zürich,5.5,196.0,9825.0,50.13
Agnesstr. 25,8004,Zürich,3,70.0,2530.0,36.14
Kirchenfeld 55,8052,Zürich,5.5,,3980.0,
,8005,Zürich,2.5,75.0,1336.0,17.81
Auwiesenstr.,8050,Zürich,3.5,65.0,1900.0,29.23
Witikonerstr. 317,8053,Zürich,2,55.0,1665.0,30.27
Schaffhauserstr. 443,8050,Zürich,1,,1077.0,
,8152,Zürich,2,,1470.0,
Murhaldenweg 8,8057,Zürich,2,53.0,1509.0,28.47
Wallisellenstr.,8050,Zürich,3.5,,1925.0,
Birmensdorferstr. 358,8055,Zürich,1.5,,1325.0,
Schärenmoosstr. 76,8052,Zürich,2.5,77.0,2770.0,35.97
Dufaux Str. 10,8152,Zürich,3.5,96.0,2530.0,26.35
Turbinenstr. 60,8005,Zürich,2.5,68.0,2650.0,38.97
Zürichbergstr. 114,8044,Zürich,1,26.0,1310.0,50.38
Stauffacherstr. 97,8004,Zürich,3.5,79.0,2700.0,34.18
Vulkanplatz 7,8048,Zürich,2.5,59.0,2265.0,38.39
,8004,Zürich,2,65.0,2090.0,32.15
Im Struppen 8,8048,Zürich,3.5,83.0,2670.0,32.17
Bolleystr. 22,8006,Zürich,2,,1592.0,
,8051,Zürich,1.5,38.0,1145.0,30.13
Seefeldstr. 255,8008,Zürich,1,,1690.0,
Seefeldstr. 96,8008,Zürich,2,64.0,2330.0,36.41
Wehntalerstr. 402,8046,Zürich,3,64.0,2370.0,37.03
Geeringstr. 83,8049,Zürich,4.5,93.0,2235.0,24.03
,8048,Zürich,2,50.0,1011.0,20.22
Mutschellenstr. 17,8002,Zürich,3.5,90.0,2870.0,31.89
Pfingstweidstr. 106A,8005,Zürich,3.5,118.0,4340.0,36.78
Kochstr. 1,8004,Zürich,4,,2600.0,
Albisriederstr. 166A,8003,Zürich,2.5,56.0,,
Freigutstr. 24,8002,Zürich,4.5,115.0,4350.0,37.83
Hätzlergasse 2,8048,Zürich,1.5,42.0,1466.0,34.9
Manessestr. 6,8003,Zürich,1,52.0,1790.0,34.42
Münstergasse 22,8001,Zürich,2.5,53.0,3100.0,58.49
Rieterstr. 35,8002,Zürich,4.5,105.0,4830.0,46.0
Grimselstr. 6,8048,Zürich,3,,1990.0,
,8003,Zürich,3,,2467.0,
Limmatstr. 93,8005,Zürich,3.5,70.0,1900.0,27.14
Jungholzstr. 20,8050,Zürich,3,63.0,2158.0,34.25
Friesstr. 14,8050,Zürich,3.5,61.0,2000.0,32.79
Plattenstr. 46,8032,Zürich,1,18.0,1080.0,60.0
Minervastr. 136,8032,Zürich,2.5,63.0,2530.0,40.16
Freiestr. 150,8032,Zürich,2,55.0,2350.0,42.73
Rautistr. 116,8048,Zürich,3.5,,2300.0,
Buchholz Str. 62,8053,Zürich,3.5,78.0,2100.0,26.92
Kirchenfeld 59,8052,Zürich,2.5,55.0,1890.0,34.36
Schwandenacker 43,8052,Zürich,4,69.0,1830.0,26.52
Hädrichstr. 8,8047,Zürich,3.5,103.0,2850.0,27.67
Hädrichstr. 13,8047,Zürich,3.5,89.0,2370.0,26.63
Birmensdorferstr. 567,8055,Zürich,1,40.0,1350.0,33.75
Blumenweg 17,8008,Zürich,3.5,106.0,3404.0,32.11
Schindlerstr. 26,8006,Zürich,3.5,120.0,3400.0,28.33
Margrit Rainer-Str. 17,8050,Zürich,1.5,50.0,1480.0,29.6
Flüelastr. 47,8047,Zürich,1.5,28.0,1325.0,47.32
Im Sträler 11,8047,Zürich,4,84.0,2416.0,28.76
Kraftstr. 15,8044,Zürich,3,82.0,2340.0,28.54
Hofwiesenstr. 22,8057,Zürich,3,59.0,2657.0,45.03
Langfurren 11,8057,Zürich,2.5,68.0,1320.0,19.41
Vulkanstr. 110B,8048,Zürich,2.5,60.0,2400.0,40.0
Schärenmoosstr. 35A,8052,Zürich,2.5,49.0,1770.0,36.12
