city,rooms,anzahl_inserate
bern,1.0,88
bern,1.5,34
bern,2.0,113
bern,2.5,132
bern,3.0,138
bern,3.5,123
bern,4.0,31
bern,4.5,42
bern,5.0,6
bern,5.5,9
bern,6.0,
bern,6.5,2
bern,7.0,2
bern,7.5,1
bern,10.5,
basel,1.0,171
basel,1.5,111
basel,2.0,276
basel,2.5,262
basel,3.0,380
basel,3.5,255
basel,4.0,69
basel,4.5,75
basel,5.0,12
basel,5.5,18
basel,6.0,4
basel,6.5,8
basel,7.0,2
basel,7.5,3
zuerich,1.0,133
zuerich,1.5,79
zuerich,2.0,79
zuerich,2.5,194
zuerich,3.0,85
zuerich,3.5,173
zuerich,4.0,29
zuerich,4.5,68
zuerich,5.0,6
zuerich,5.5,7
zuerich,6.0,3
zuerich,6.5,2
zuerich,7.0,1
luzern,1.0,49
luzern,1.5,23
luzern,2.0,49
luzern,2.5,105
luzern,3.0,62
luzern,3.5,130
luzern,4.0,40
luzern,4.5,46
luzern,5.0,2
luzern,5.5,9
luzern,7.5,3
luzern,8.5,1
winterthur,1.0,33
winterthur,1.5,27
winterthur,2.0,29
winterthur,2.5,51
winterthur,3.0,56
winterthur,3.5,111
winterthur,4.0,29
winterthur,4.5,53
winterthur,5.0,3
winterthur,5.5,9
winterthur,6.0,
winterthur,6.5,4
winterthur,7.5,1
