city,plz,rooms,anzahl_inserate
bern,3004,1.5,1
bern,3004,2.0,7
bern,3004,2.5,6
bern,3004,3.0,9
bern,3004,3.5,3
bern,3004,4.5,0
bern,3005,1.0,0
bern,3005,1.5,3
bern,3005,2.0,4
bern,3005,2.5,5
bern,3005,3.5,2
bern,3005,4.0,4
bern,3005,4.5,1
bern,3005,5.5,1
bern,3005,7.0,1
bern,3006,1.0,7
bern,3006,1.5,5
bern,3006,2.0,10
bern,3006,2.5,17
bern,3006,3.0,17
bern,3006,3.5,17
bern,3006,4.0,7
bern,3006,4.5,11
bern,3006,5.0,3
bern,3006,5.5,4
bern,3006,6.5,2
bern,3007,1.0,23
bern,3007,1.5,3
bern,3007,2.0,14
bern,3007,2.5,13
bern,3007,3.0,29
bern,3007,3.5,18
bern,3007,4.0,2
bern,3007,4.5,3
bern,3008,1.0,5
bern,3008,1.5,0
bern,3008,2.0,8
bern,3008,2.5,11
bern,3008,3.0,14
bern,3008,3.5,15
bern,3008,4.5,1
bern,3011,1.0,6
bern,3011,1.5,6
bern,3011,2.0,25
bern,3011,2.5,16
bern,3011,3.0,14
bern,3011,3.5,12
bern,3011,4.0,7
bern,3011,4.5,3
bern,3011,5.0,1
bern,3011,5.5,1
bern,3011,7.5,1
bern,3012,1.0,22
bern,3012,1.5,8
bern,3012,2.0,9
bern,3012,2.5,14
bern,3012,3.0,8
bern,3012,3.5,7
bern,3012,4.0,3
bern,3012,10.5,0
bern,3013,1.0,9
bern,3013,1.5,0
bern,3013,2.0,5
bern,3013,2.5,7
bern,3013,3.0,13
bern,3013,3.5,13
bern,3013,4.0,2
bern,3013,5.0,0
bern,3013,6.0,0
bern,3013,7.0,1
bern,3014,1.0,8
bern,3014,1.5,4
bern,3014,2.0,19
bern,3014,2.5,23
bern,3014,3.0,9
bern,3014,3.5,14
bern,3014,4.0,3
bern,3014,4.5,7
bern,3014,5.0,1
bern,3014,5.5,1
bern,3015,2.5,3
bern,3015,3.5,2
bern,3015,4.5,6
bern,3018,1.0,5
bern,3018,2.0,12
bern,3018,2.5,10
bern,3018,3.0,15
bern,3018,3.5,7
bern,3018,4.0,3
bern,3018,4.5,5
bern,3018,5.5,1
bern,3019,3.5,0
bern,3027,1.0,1
bern,3027,1.5,0
bern,3027,2.5,7
bern,3027,3.0,10
bern,3027,3.5,12
bern,3027,4.5,4
bern,3072,5.5,0
basel,4000,3.5,0
basel,4001,1.0,3
basel,4001,1.5,3
basel,4001,2.0,2
basel,4001,2.5,2
basel,4001,3.0,2
basel,4001,3.5,2
basel,4001,4.0,2
basel,4001,5.0,1
basel,4020,2.0,1
basel,4051,1.0,19
basel,4051,1.5,9
basel,4051,2.0,17
basel,4051,2.5,25
basel,4051,3.0,10
basel,4051,3.5,20
basel,4051,4.0,7
basel,4051,4.5,6
basel,4051,5.0,3
basel,4051,5.5,3
basel,4051,7.0,1
basel,4052,1.0,6
basel,4052,1.5,3
basel,4052,2.0,26
basel,4052,2.5,31
basel,4052,3.0,47
basel,4052,3.5,49
basel,4052,4.0,11
basel,4052,4.5,10
basel,4052,5.0,1
basel,4052,5.5,4
basel,4052,6.0,1
basel,4052,6.5,1
basel,4052,7.0,1
basel,4053,1.0,20
basel,4053,1.5,17
basel,4053,2.0,14
basel,4053,2.5,29
basel,4053,3.0,41
basel,4053,3.5,34
basel,4053,4.0,7
basel,4053,4.5,14
basel,4053,5.5,2
basel,4054,1.0,21
basel,4054,1.5,3
basel,4054,2.0,25
basel,4054,2.5,16
basel,4054,3.0,38
basel,4054,3.5,14
basel,4054,4.0,6
basel,4054,4.5,11
basel,4054,5.0,2
basel,4054,5.5,4
basel,4054,6.0,2
basel,4055,1.0,33
basel,4055,1.5,13
basel,4055,2.0,38
basel,4055,2.5,38
basel,4055,3.0,44
basel,4055,3.5,54
basel,4055,4.0,16
basel,4055,4.5,5
basel,4055,5.5,3
basel,4056,1.0,28
basel,4056,1.5,14
basel,4056,2.0,45
basel,4056,2.5,30
basel,4056,3.0,78
basel,4056,3.5,17
basel,4056,4.0,8
basel,4056,4.5,8
basel,4056,5.0,2
basel,4057,1.0,21
basel,4057,1.5,29
basel,4057,2.0,58
basel,4057,2.5,39
basel,4057,3.0,66
basel,4057,3.5,21
basel,4057,4.0,6
basel,4057,4.5,10
