Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Hebelstr. 82,4056,Basel,2 ½,52 m²,1500
Andlauerstrasse 10,4057,Basel,3,70 m²,1520
General Guisan - Strasse 136,4054,Basel,1,30 m²,896
Tangentenweg 44,4058,Basel,2 ½,52 m²,1367
Lehenmattstr. 55,4052,Basel,2,47 m²,1215
,4055,Basel,4,,2100
Langegasse 123,4104,Oberwil,2 ½,86 m²,2240
Claragraben 138,4057,Basel,3,73 m²,1720
St. Jakobsstrasse 189,4052,Basel,2 ½,51 m²,1410
St. Jakobsstrasse 187,4052,Basel,3 ½,71 m²,1885
Hauptstrasse 116,4102,Binningen,1,15 m²,400
St. Jakobsstrasse 193,4052,Basel,3 ½,75 m²,2035
,4051,Basel,1,37 m²,1260
Jurastrasse 10,4053,Basel,4 ½,120 m²,2500
Beinwilerstrasse 14,4053,Basel,3,57 m²,1270
Markircherstrasse 52,4055,Basel,4,76 m²,1780
Lehenmattstr. 201,4052,Basel,2,47 m²,1240
Spalenring 95,4055,Basel,3 ½,80 m²,1660
Oberalpstrasse 113,4054,Basel,4,85 m²,1740
Delsbergerallee 7,4053,Basel,2 ½,66 m²,1375
Friedensgasse 24,4056,Basel,3,77 m²,1930
Sierenzerstrasse 9,4055,Basel,4 ½,118 m²,2060
,4052,Basel,2,50 m²,600
Altrheinweg 44,4057,Basel,2 ½,48 m²,1450
St. Alban-Ring 152,4052,Basel,4,110 m²,2230
Wettsteinallee 96,4058,Basel,2,,1230
Blauensteinerstr. 10,4053,Basel,3 ½,86 m²,2150
gundeldingerstrasse 105,4053,basel,3,65 m²,1590
Birseckstrasse 33,4142,Münchenstein,3,66 m²,1435
,4058,Basel,3 ½,115 m²,2980
,4054,Basel,3,70 m²,1550
Talstrasse 21,4104,Oberwil,3,64 m²,1520
Auf der Wacht 5,4104,Oberwil,2 ½,51 m²,1450
,4056,Basel,1 ½,35 m²,1150
Müllheimerstrasse,4057,Basel,3 ½,55 m²,2500
Beim Goldenen Löwen 9,4052,Basel,3,76 m²,1790
Weiherweg 1,4123,Allschwil,4 ½,89 m²,1890
Farnsburgerstrasse 37,4052,Basel,3,60 m²,1500
Maulbeerstrasse 14,4058,Basel,3,75 m²,1815
St.Jakokbsstrasse 165,4052,Basel,1,13 m²,270
Horburgstrasse 86,4057,Basel,2,45 m²,1290
Horburgstrasse 4,4057,Basel,2,55 m²,1350
Amerbachstrasse 43,4057,Basel,1 ½,33 m²,920
Klingentalgraben 7,4057,Basel,4 ½,122 m²,1800
Klingentalgraben 7,4057,Basel,4,97 m²,1700
Horburgstrasse 86,4057,Basel,2,45 m²,1190
,4053,Basel,2 ½,63 m²,1235
Parkweg 4,4142,Münchenstein,4,85 m²,1895
Gundeldingerstrasse 369,4053,Basel,3,68 m²,1420
,4057,Basel,2,55 m²,1420
Mittlere Strasse 60,4056,Basel,3,75 m²,2200
Missionsstrasse 61,4055,Basel,3,71 m²,1480
Missionsstrasse 61,4055,Basel,3,71 m²,1600
Sevogelstrasse 19,4052,Basel,3,79 m²,1700
Münchensteinerstr. 4,4052,Basel,1,27 m²,900
Im Reinacherhof 157,4153,Reinach,4 ½,135 m²,2810
Feldbergstrasse 137,4057,Basel,4 ½,88 m²,1990
Feldbergstrasse 137,4057,Basel,1,29 m²,1160
Feldbergstrasse 137,4057,Basel,2 ½,48 m²,1410
Feldbergstrasse 137,4057,Basel,3 ½,72 m²,1600
Feldbergstrasse 137,4057,Basel,1 ½,36 m²,1250
Dornacherstrasse 109,4053,Basel,1,36 m²,1030
Holbeinstrasse 56,4051,Basel,2 ½,89 m²,2770
Hochstrasse 51,4053,Basel,3 ½,95 m²,1960
Claragraben 82,4058,Basel,3,77 m²,1470
Wiesenstrasse 14,4057,Basel,1 ½,42 m²,1050
Keltenweg 5,4125,Riehen,3,68 m²,1250
Markircherstrasse 22,4055,Basel,2,51 m²,1220
Im Reinacherhof 167,4153,Reinach,2 ½,60 m²,1460
Schopfheimerstr. 8,4058,Basel,3,75 m²,1520
Unterwartweg 15,4132,Muttenz,2 ½,72 m²,1420
Missionsstr. 52,4055,Basel,1,35 m²,880
Baslerstrasse 53,4102,Binningen,3,58 m²,1410
Schopfheimerstr. 4,4058,Basel,2,61 m²,1220
Baslerstrasse 6,4103,Bottmingen,3,65 m²,1400
Lehenmattstrasse 324,4052,Basel,2,52 m²,1045
Allschwilerplatz 11,4055,Basel,3,78 m²,1590
Baldeggerstrasse 58,4052,Basel,3,89 m²,2230
Clarahofweg 47,4058,Basel,1 ½,62 m²,1590
Pfeffingerstrasse 55,4053,Basel,2,62 m²,1475
Weiherweg 12,4153,Reinach,3,60 m²,1430
Tangentenweg 56,4058,Basel,3 ½,70 m²,1960
Belchenring 37,4123,Allschwil,2 ½,60 m²,1481
St. Jakob-Str. 69,4132,Muttenz,2 ½,57 m²,1620
Steinengraben 67,4051,Basel,3,64 m²,1590
Pfeffingerstrasse,4053,Basel,3,65 m²,1530
Kleinhüningerstrasse 136,4057,Basel,3 ½,,1280
Güterstrasse 199,4053,Basel,2 ½,48 m²,1320
,4051,Basel,5,120 m²,3530
Ryffstrasse 50,4056,Basel,1,30 m²,970
Sperrstrasse 43,4057,Basel,3,64 m²,1325
Elsässerstrasse 107,4056,Basel,2,45 m²,1370
Baselmattweg 142-152a,4123,Allschwil,3 ½,85 m²,2020
Holeestrasse 95,4054,Basel,1,20 m²,530
Auberg 10,4051,Basel,4,102 m²,2235
Liestaleranlage 30,4052,Basel,2 ½,75 m²,1570
Stockertstrasse,4132,Muttenz,2,50 m²,1115
Oberwilerstrasse 159,4054,Basel,3,91 m²,1910
Holbeinstrasse 31,4051,Basel,4 ½,109 m²,2970
Spalenring 120,4055,Basel,2,68 m²,1575
St. Jakobsstrasse 193,4052,Basel,3 ½,72 m²,2209
Beim Goldenen Löwen 7,4052,Basel,3,76 m²,1830
Redingstrasse,4052,Basel,3 ½,98 m²,2325
Gasstrasse 71,4056,Basel,2,64 m²,1305
Kapellenstrasse 37,4052,Basel,3,85 m²,1685
Lettenweg 113,4123,Allschwil,3 ½,73 m²,1590
Unterm Stallen 10,4104,Oberwil,3,59 m²,1400
Tiefengrabenstrasse 36,4102,Binningen,3 ½,88 m²,1790
Baslerstr. 204,4123,Allschwil,3 ½,73 m²,2030
Fasanenstr. 140,4058,Basel,2,48 m²,1330
Fabrikstrasse 33,4123,Allschwil,4 ½,96 m²,1900
Zwingerstrasse 23a,4053,Basel,4 ½,146 m²,2901
Schützengraben 7,4051,Basel,2 ½,58 m²,1590
Schorenweg 40,4058,Basel,3 ½,80 m²,1785
Langegasse 131,4104,Oberwil,4 ½,111 m²,2600
St. Jakobsstrasse 193,4052,Basel,3 ½,72 m²,1940
Blauenstrasse 42,4054,Basel,3,75 m²,1525
Weiherweg 86,4054,Basel,2 ½,54 m²,1380
Rheinfelderstr. 3,4058,Basel,3 ½,90 m²,1900
Burenweg 37,4127,Birsfelden,1 ½,40 m²,911
In den Klostermatten 17,4052,Basel,3,70 m²,1510
Lettenweg 111,4123,Allschwil,3,73 m²,1595
Rosentalstr. 32,4058,Basel,2,54 m²,1180
Mülhauserstr. 30,4056,Basel,3,,1531
Ryffstr. 12,4056,Basel,3,67 m²,1625
Weichselmattstrasse 58,4103,Bottmingen,5 ½,147 m²,3800
Eulerstr. 64,4051,Basel,2 ½,65 m²,1770
Bernoullistr. 24,4056,Basel,4,111 m²,2375
Eisenbahnweg 10,4058,Basel,3,70 m²,1640
,4057,Basel,2 ½,68 m²,1750
Sennheimerstr. 54,4054,Basel,4 ½,89 m²,1950
Sennheimerstr. 52,4054,Basel,4 ½,80 m²,1930
Burenweg 37,4127,Birsfelden,2 ½,60 m²,1397
Sevogelstr. 40,4052,Basel,3,79 m²,1795
St. Alban-Rheinweg 84,4052,Basel,2 ½,68 m²,1780
Innere Margarethenstrasse 9,4051,Basel,1,37 m²,955
Bechburgerstrasse 5,4052,Basel,2,60 m²,1540
Breisacherstrasse 68,4057,Basel,2,,1490
Birseckstrasse 50,4142,Münchenstein,3,64 m²,1475
Gellertstrasse 26,4052,Basel,3,85 m²,2110
Markircherstrasse 41,4055,Basel,3,68 m²,1600
Laufenstrasse 41,4053,Basel,1 ½,49 m²,1320
Bottmingerstr. 119,4102,Binningen,3 ½,78 m²,1990
Bruderholzstrasse 74,4053,Basel,3,79 m²,1880
Ryffstrasse 26,4056,Basel,1,31 m²,770
Im Zehntenfrei 27,4102,Binningen,2 ½,70 m²,2150
Bruderholzstrasse 20,4102,Binningen,3 ½,97 m²,2320
Clarastrasse 1,4058,Basel,3,63 m²,1480
Laufenstrasse 41,4053,Basel,1 ½,49 m²,1340
Laufenstrasse 41,4053,Basel,1 ½,49 m²,1320
Tangentenweg 50,4058,Basel,2 ½,49 m²,1650
Im Wilacker 17,4106,Therwil,3 ½,77 m²,1480
Blauensteinerstrasse 33,4053,Basel,4 ½,108 m²,2320
Klybeckstrasse 190,4057,Basel,3 ½,71 m²,1960
Klybeckstrasse 190,4057,Basel,1 ½,28 m²,935
Zürcherstr. 160,4052,Basel,1,54 m²,1260
Hiltalingerstr. 5,4057,Basel,2,57 m²,1290
Hegenheimerstrasse 240,4055,Basel,1,,890
Dolderweg 4,4058,Basel,3 ½,74 m²,1710
Davidsrain,4057,Basel,1 ½,36 m²,1900
Markircherstrasse 56,4055,Basel,3,59 m²,1490
Malzgasse 14,4052,Basel,3 ½,81 m²,2010
Engelgasse 45,4052,Basel,5 ½,193 m²,6280
Maiengasse 12,4056,Basel,2,51 m²,1500
Allmendstrasse 10,4123,Allschwil,1,32 m²,900
,4055,Basel,3 ½,88 m²,1690
Freiburgerstrasse 9,4057,Basel,2 ½,,1600
Utengasse 39,4058,Basel,1,30 m²,890
Bettenstr. 10,4123,Allschwil,3,63 m²,1350
Bäumliackerstrasse 1,4108,Bottmingen,3 ½,,1720
Spalenring 120,4055,Basel,2,68 m²,1575
,4054,Basel,3,73 m²,1610
Gotthelfstrasse 96,4054,Basel,1,34 m²,985
Riehenstrasse 157,4058,Basel,2 ½,64 m²,1450
Kraftstrasse 16,4056,Basel,2 ½,89 m²,1660
Allmendstrasse 8,4123,Allschwil,4,90 m²,1990
Dornacherstrasse 329,4053,Basel,1,,1100
Schafmattweg 47,4102,Binningen,4 ½,83 m²,1870
Münchensteinerstr. 8,4052,Basel,3,72 m²,1805
Kanonengasse 18,4051,Basel,5 ½,121 m²,2940
Hasenrainstrasse 57,4102,Binningen,3 ½,106 m²,2600
