Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
3 ½ Zimmer-Wohnung in Emmen mieten,/de/wohnung/gartenweg-5-6032-emmen/578598/,Gartenweg 5,6032,Emmen,1810,3 ½,87 m²
3 Zimmer-Wohnung in Luzern mieten,/de/wohnung/sagenmattstrasse-22-6003-luzern/598284/,Sagenmattstrasse 22,6003,Luzern,1450,3,NaN
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/winkelriedstrasse-37-6003-luzern/597846/,Winkelriedstrasse 37,6003,Luzern,1630,2 ½,60 m²
2 ½ Zimmer-Wohnung in Hagendorn mieten,/de/wohnung/dorfstr-19-gebaude-a-6332-hagendorn/597835/,Dorfstr. 19,(Gebäude,A),1690,2 ½,55 m²
2 ½ Zimmer-Wohnung in Immensee mieten,/de/wohnung/chiemerrutiweg-17-6405-immensee/597678/,Chiemerrütiweg 17,6405,Immensee,2410,2 ½,100 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/kauffmannweg-28-6003-luzern/597550/,Kauffmannweg 28,6003,Luzern,1780,2 ½,72 m²
2 Zimmer-Wohnung in Luzern mieten,/de/wohnung/abendweg-30-6006-luzern/597511/,Abendweg,30,"30,",1075,2,51 m²
3 ½ Zimmer-Wohnung in emmenbrücke mieten,/de/wohnung/adligenstrasse-1-6020-emmenbrucke/597377/,Adligenstrasse 1,6020,emmenbrücke,1468,3 ½,NaN
3 ½ Zimmer-Wohnung in Ebikon mieten,/de/wohnung/zentralstr-15-6030-ebikon/580532/,Zentralstr. 15,6030,Ebikon,1760,3 ½,80 m²
4 Zimmer-Wohnung in Luzern mieten,/de/wohnung/ulmenstrasse-15-6003-luzern/597211/,Ulmenstrasse 15,6003,Luzern,1704,4,78 m²
2 ½ Zimmer-Wohnung in Ebikon mieten,/de/wohnung/ebisquare-str-7-6030-ebikon/580573/,Ebisquare-Str. 7,6030,Ebikon,1530,2 ½,63 m²
2 ½ Zimmer-Wohnung in Emmen mieten,/de/wohnung/feldbreite-emmen-6032-emmen/597176/,Feldbreite Emmen,6032,Emmen,1450,2 ½,63 m²
6 ½ Zimmer-Wohnung in Berömunster mieten,/de/wohnung/don-boscostrasse-24-6215-beromunster/597030/,Don Boscostrasse 24,6215,Berömunster,3610,6 ½,213 m²
1 ½ Zimmer-Wohnung in Hildisrieden mieten,/de/wohnung/wiesengrund-4-6024-hildisrieden/596877/,Wiesengrund 4,6024,Hildisrieden,780,1 ½,22 m²
4 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/wichlernstrasse-3a-6010-kriens/596814/,Wichlernstrasse 3a,6010,Kriens,1950,4 ½,106 m²
2 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/unter-sidhalden-5-6010-kriens/596698/,Unter Sidhalden,5,"Sidhalden,",1670,2 ½,65 m²
2 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/lauerzweg-1a-6010-kriens/596499/,Lauerzweg 1a,6010,Kriens,1690,2 ½,68 m²
4 ½ Zimmer-Wohnung in Sarnen mieten,/de/wohnung/gartenstrasse-27-haus-b1-6060-sarnen/594797/,Gartenstrasse 27 (Haus B1),6060,Sarnen,2220,4 ½,103 m²
3 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/6010-kriens/596198/,no street available,6010,Kriens,2340,3 ½,117 m²
3 Zimmer-Dachwohnung in Luzern mieten,/de/wohnung/reckenbuhlstrasse-6-6005-luzern/593172/,Reckenbühlstrasse 6,6005,Luzern,1600,3,NaN
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/salzfassstrasse-8a-6006-luzern/593725/,Salzfassstrasse 8a,6006,Luzern,3240,3 ½,NaN
2 ½ Zimmer-Wohnung in Rain mieten,/de/wohnung/dorfstrasse-37-6026-rain/595724/,Dorfstrasse 37,6026,Rain,1331,2 ½,55 m²
2 ½ Zimmer-Wohnung in Horw mieten,/de/wohnung/gemeindehausplatz-13-6048-horw/589518/,Gemeindehausplatz 13,6048,Horw,1760,2 ½,67 m²
3 ½ Zimmer-Wohnung in Schachen LU mieten,/de/wohnung/6105-schachen-lu/595653/,no street available,6105,Schachen,1600,3 ½,77 m²
3 ½ Zimmer-Wohnung in Rotkreuz mieten,/de/wohnung/buonaserstrasse-7-6343-rotkreuz/593693/,Buonaserstrasse 7,6343,Rotkreuz,2835,3 ½,108 m²
4 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/adligenstrasse-7-6020-emmenbrucke/595365/,Adligenstrasse 7,6020,Emmenbrücke,1720,4 ½,84 m²
2 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/untere-wiese-10-6020-emmenbrucke/595218/,Untere Wiese 10,6020,Emmenbrücke,1275,2 ½,61 m²
4 ½ Zimmer-Wohnung in Emmen mieten,/de/wohnung/unter-spitalhof-4-6032-emmen/595364/,Unter-Spitalhof 4,6032,Emmen,1805,4 ½,96 m²
8 ½ Zimmer-Haus in Luzern kaufen,/de/wohnung/6014-luzern/595302/,no street available,6014,Luzern,Anfrage,8 ½,250 m²
1 ½ Zimmer-Wohnung in Udligenswil mieten,/de/wohnung/dorfstrasse-19-6044-udligenswil/594916/,Dorfstrasse 19,6044,Udligenswil,1350,1 ½,35 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/horwerstrasse-32-6005-luzern/594900/,Horwerstrasse 32,6005,Luzern,2510,3 ½,100 m²
3 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/erlenstrasse-42-6020-emmenbrucke/594597/,Erlenstrasse 42,6020,Emmenbrücke,1450,3 ½,78 m²
4 Zimmer-Wohnung in Kriens mieten,/de/wohnung/feldmuhlestr-20-6010-kriens/594420/,Feldmühlestr. 20,6010,Kriens,1530,4,70 m²
4 ½ Zimmer-Wohnung in Meggen mieten,/de/wohnung/altegghalde-1-6045-meggen/594363/,Altegghalde 1,6045,Meggen,3490,4 ½,NaN
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/felsental-7-6006-luzern/594340/,Felsental 7,6006,Luzern,1150,3 ½,55 m²
3 ½ Zimmer-Wohnung in Nottwil mieten,/de/wohnung/rosslimatte-12-6207-nottwil/592579/,Rösslimatte 12,6207,Nottwil,1735,3 ½,86 m²
2 ½ Zimmer-Wohnung in Meierskappel mieten,/de/wohnung/6344-meierskappel/594167/,no street available,6344,Meierskappel,990,2 ½,60 m²
4 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/wichlernstrasse-8-6010-kriens/586026/,Wichlernstrasse 8,6010,Kriens,1860,4 ½,103 m²
4 ½ Zimmer-Wohnung in Wolfenschiessen mieten,/de/wohnung/6386-wolfenschiessen/594066/,no street available,6386,Wolfenschiessen,1800,4 ½,NaN
3 ½ Zimmer-Wohnung in Horw mieten,/de/wohnung/bifangstr-14-6048-horw/593755/,Bifangstr. 14,6048,Horw,1480,3 ½,68 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/maihofstrasse-4-6004-luzern/593671/,Maihofstrasse 4,6004,Luzern,2000,2 ½,104 m²
1 ½ Zimmer-Wohnung in Immensee mieten,/de/wohnung/martinsweidweg-3-6405-immensee/593574/,Martinsweidweg 3,6405,Immensee,950,1 ½,30 m²
1 Zimmer-Wohnung in Luzern mieten,/de/wohnung/sempacherstrasse-34-6003-luzern/593566/,Sempacherstrasse 34,6003,Luzern,765,1,25 m²
5 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/schadrutistrasse-6006-luzern/593549/,Schädrütistrasse,6006,Luzern,850,5 ½,12 m²
2 Zimmer-Wohnung in Luzern mieten,/de/wohnung/bruchstrasse-2-6003-luzern/593523/,Bruchstrasse 2,6003,Luzern,2130,2,85 m²
4 ½ Zimmer-Wohnung in Sempach mieten,/de/wohnung/seesatz-4-6204-sempach/593517/,Seesatz,4,"4,",1710,4 ½,NaN
1 Zimmer-Wohnung in Rothenburg mieten,/de/wohnung/6023-rothenburg/593394/,no street available,6023,Rothenburg,628,1,27 m²
2 ½ Zimmer-Wohnung in Rothenburg mieten,/de/wohnung/schutzenweidstasse-10-6023-rothenburg/593392/,Schützenweidstasse 10,6023,Rothenburg,1200,2 ½,NaN
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/winkelriedstrasse-56-6003-luzern/593223/,Winkelriedstrasse 56,6003,Luzern,1900,2 ½,57 m²
4 ½ Zimmer-Wohnung in Sarnen mieten,/de/wohnung/buntenstrasse-1-6060-sarnen/592980/,Büntenstrasse 1,6060,Sarnen,1920,4 ½,90 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/bleicherstrasse-29-6003-luzern/592463/,Bleicherstrasse 29,6003,Luzern,1710,3 ½,81 m²
4 ½ Zimmer-Wohnung in Ennetbürgen mieten,/de/wohnung/riedmatt-5-6373-ennetburgen/592708/,Riedmatt 5,6373,Ennetbürgen,1830,4 ½,85 m²
1 Zimmer-Wohnung in Malters mieten,/de/wohnung/muoshofstrasse-18-6102-malters/576106/,Muoshofstrasse 18,6102,Malters,820,1,47 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/biregghang-6-6005-luzern/591689/,Biregghang 6,6005,Luzern,1780,3 ½,87 m²
4 ½ Zimmer-Wohnung in Luzern kaufen,/de/wohnung/luzern-6006-luzern/592630/,Luzern,6006,Luzern,1190000,4 ½,113 m²
2 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/gartnerweg-1-6010-kriens/592374/,Gärtnerweg 1,6010,Kriens,1330,2 ½,60 m²
3 Zimmer-Wohnung in Luzern mieten,/de/wohnung/habsburgerstrasse-11-6003-luzern/592291/,Habsburgerstrasse 11,6003,Luzern,1540,3,72 m²
4 Zimmer-Wohnung in Hellbühl mieten,/de/wohnung/6016-hellbuhl/591920/,no street available,6016,Hellbühl,1290,4,77 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/hauptstrasse-17-6015-luzern/591688/,Hauptstrasse 17,6015,Luzern,1370,3 ½,NaN
4 ½ Zimmer-Wohnung in Cham mieten,/de/wohnung/alpenstrasse-5-6330-cham/591681/,Alpenstrasse 5,6330,Cham,2980,4 ½,100 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/bergstrasse-13-6004-luzern/591562/,Bergstrasse 13,6004,Luzern,1950,2 ½,90 m²
4 ½ Zimmer-Wohnung in Weggis mieten,/de/wohnung/6353-weggis/591345/,no street available,6353,Weggis,1950,4 ½,113 m²
1 Zimmer-Wohnung in Luzern mieten,/de/wohnung/muhlemattstr-9-6004-luzern/579593/,Mühlemattstr. 9,6004,Luzern,900,1,24 m²
2 ½ Zimmer-Wohnung in Büren NW mieten,/de/wohnung/allmendstrasse-21-6382-buren-nw/590923/,Allmendstrasse 21,6382,Büren,1150,2 ½,55 m²
3 ½ Zimmer-Wohnung in Horw mieten,/de/wohnung/spitzberglistrasse-6-6048-horw/597938/,Spitzberglistrasse 6,6048,Horw,1590,3 ½,80 m²
2 ½ Zimmer-Wohnung in Obbürgen mieten,/de/wohnung/widenrain-6-6363-obburgen/590897/,Widenrain 6,6363,Obbürgen,1740,2 ½,34 m²
1 ½ Zimmer-Studio in Luzern mieten,/de/wohnung/6003-luzern/590867/,no street available,6003,Luzern,1192,1 ½,30 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/6005-luzern/590848/,no street available,6005,Luzern,1730,2 ½,48 m²
4 ½ Zimmer-Wohnung in Hochdorf mieten,/de/wohnung/kleinwangenstr-51-6280-hochdorf/590726/,Kleinwangenstr.,51,"51,",2040,4 ½,130 m²
2 Zimmer-Terrassenwohnung in Rigi-Kaltbad mieten,/de/wohnung/6356-rigi-kaltbad/590626/,no street available,6356,Rigi,1400,2,40 m²
3 Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/muhlematt-11-6020-emmenbrucke/590356/,Mühlematt 11,6020,Emmenbrücke,1350,3,61 m²
4 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/seefeldrain-3-6006-luzern/590352/,Seefeldrain 3,6006,Luzern,2130,4 ½,103 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/seefeldstrasse-8-6006-luzern/590350/,Seefeldstrasse 8,6006,Luzern,2120,3 ½,84 m²
4 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/seefeldstrasse-8-6006-luzern/590349/,Seefeldstrasse 8,6006,Luzern,2220,4 ½,100 m²
5 ½ Zimmer-Wohnung in Hochdorf mieten,/de/wohnung/alpenstrasse-1-6280-hochdorf/590346/,Alpenstrasse 1,6280,Hochdorf,1840,5 ½,117 m²
4 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/imfangring-16-6005-luzern/590337/,Imfangring 16,6005,Luzern,1690,4 ½,92 m²
4 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/kreuzhausweg-7-6010-kriens/588174/,Kreuzhausweg 7,6010,Kriens,1575,4 ½,81 m²
3 Zimmer-Wohnung in Luzern mieten,/de/wohnung/maihofstrasse-4-6004-luzern/590090/,Maihofstrasse 4,6004,Luzern,1930,3,90 m²
3 Zimmer-Wohnung in Vitznau mieten,/de/wohnung/schweizerheim-6354-vitznau/574036/,Schweizerheim,6354,Vitznau,1970,3,73 m²
3 Zimmer-Wohnung in Luzern mieten,/de/wohnung/sempacherstrasse-19-6003-luzern/583383/,Sempacherstrasse 19,6003,Luzern,1820,3,NaN
3 ½ Zimmer-Wohnung in Luzern kaufen,/de/wohnung/luzern-6005-luzern/589884/,Luzern,6005,Luzern,739000,3 ½,74 m²
2 ½ Zimmer-Wohnung in Emmen mieten,/de/wohnung/feldbreite-emmen-6032-emmen/589820/,Feldbreite Emmen,6032,Emmen,1410,2 ½,60 m²
