Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
6 Zimmer-Wohnung in Basel mieten,/de/wohnung/steinengraben-79-4051-basel/602434/,Steinengraben 79,4051,Basel,2620,6,144 m²
5 ½ Zimmer-Wohnung in Binningen mieten,/de/wohnung/margarethenstrasse-63-4102-binningen/602433/,Margarethenstrasse 63,4102,Binningen,2770,5 ½,124 m²
2 Zimmer-Wohnung in Allschwil mieten,/de/wohnung/lettenweg-121-4123-allschwil/602431/,Lettenweg 121,4123,Allschwil,1110,2,51 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/metzerstrasse-32-4056-basel/602428/,Metzerstrasse 32,4056,Basel,2165,3,89 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/rixheimerstr-1-4055-basel/602353/,Rixheimerstr. 1,4055,Basel,1340,2,52 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/gellertstrasse-97-4052-basel/602282/,Gellertstrasse 97,4052,Basel,3360,3 ½,134 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/baumlihofstrasse-92-4058-basel/602280/,Bäumlihofstrasse 92,4058,Basel,1495,2,54 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/steinengraben-77-4051-basel/602274/,Steinengraben 77,4051,Basel,1750,2,63 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/davidsbodenstr-28-4056-basel/602142/,Davidsbodenstr. 28,4056,Basel,1165,2,47 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/laufenstr-22-4053-basel/602125/,Laufenstr. 22,4053,Basel,1740,3,62 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/oberwilerstrasse-153-4054-basel/602042/,Oberwilerstrasse 153,4054,Basel,1180,2 ½,NaN
1 ½ Zimmer-Wohnung in basel mieten,/de/wohnung/feldbergstrasse-23-4057-basel/602036/,Feldbergstrasse 23,4057,basel,1140,1 ½,NaN
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/riehentorstr-33-4058-basel/595805/,Riehentorstr. 33,4058,Basel,1290,2,62 m²
3 ½ Zimmer-Maisonette in Basel mieten,/de/wohnung/spalenberg-10-4051-basel/601893/,Spalenberg 10,4051,Basel,3500,3 ½,135 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/heuberg-14-4051-basel/601776/,Heuberg 14,4051,Basel,1950,3,82 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/clarahofweg-47-4058-basel/601704/,Clarahofweg 47,4058,Basel,1310,1 ½,39 m²
2 ½ Zimmer-Möblierte Wohnung in Basel mieten,/de/wohnung/hegenheimerstrasse-62-4055-basel/601600/,Hegenheimerstrasse 62,4055,Basel,4050,2 ½,125 m²
2 Zimmer-Möblierte Wohnung in Basel mieten,/de/wohnung/hegenheimerstrasse-62-4055-basel/601599/,Hegenheimerstrasse 62,4055,Basel,2460,2,50 m²
1 Zimmer-Möblierte Wohnung in Basel mieten,/de/wohnung/hegenheimerstrasse-62-4055-basel/601598/,Hegenheimerstrasse 62,4055,Basel,2070,1,32 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/clarahofweg-47-4058-basel/600438/,Clarahofweg 47,4058,Basel,2890,3 ½,109 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/clarahofweg-47-4058-basel/600431/,Clarahofweg 47,4058,Basel,2490,3 ½,90 m²
2 Zimmer-Loft in Basel mieten,/de/wohnung/sarnerstrasse-2-4055-basel/601529/,Sarnerstrasse 2,4055,Basel,1265,2,NaN
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/klingelbergstrasse-37-4056-basel/601527/,Klingelbergstrasse,4056,Basel,1450,2 ½,80 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/guterstr-177-4053-basel/601477/,Güterstr. 177,4053,Basel,995,1,34 m²
3 Zimmer-Wohnung in Münchenstein mieten,/de/wohnung/aeussere-lange-heid-3-4142-munchenstein/601459/,Aeussere Lange Heid 3,4142,Münchenstein,1400,3,62 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/hardstrasse-111-4052-basel/586950/,Hardstrasse 111,4052,Basel,1090,2,49 m²
Studio in Basel mieten,/de/wohnung/ziegelstr-10-4055-basel/601436/,Ziegelstr. 10,4055,Basel,650,NaN,23 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/spalenvorstadt-37-4051-basel/601435/,Spalenvorstadt 37,4051,Basel,1230,2,50 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/bruderholzstr-40-4053-basel/601434/,Bruderholzstr. 40,4053,Basel,1580,3,NaN
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/jungstr-23-4056-basel/601433/,Jungstr. 23,4056,Basel,1880,3,79 m²
