Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
4 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/bolligenstrasse-14a-3006-bern/602480/,Bolligenstrasse 14a,3006,Bern,3325,4 ½,140 m²
1 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/bruckfeldstr-19-3012-bern/602418/,Brückfeldstr. 19,3012,Bern,1280,1 ½,37 m²
3 Zimmer-Wohnung in Liebefeld mieten,/de/wohnung/konizstrasse-197-3097-liebefeld/602400/,Könizstrasse 197,3097,Liebefeld,1400,3,NaN
3 ½ Zimmer-Wohnung in Liebefeld mieten,/de/wohnung/wilkerstrasse-76-3097-liebefeld/602387/,Wilkerstrasse 76,3097,Liebefeld,1890,3 ½,81 m²
4 ½ Zimmer-Wohnung in Liebefeld mieten,/de/wohnung/wilkerstrasse-50-3097-liebefeld/602386/,Wilkerstrasse 50,3097,Liebefeld,2330,4 ½,103 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/libellenweg-28-3006-bern/602365/,Libellenweg 28,3006,Bern,1645,3 ½,NaN
3 ½ Zimmer-Wohnung in Zollikofen mieten,/de/wohnung/gantrischweg-23-3052-zollikofen/602361/,Gantrischweg 23,3052,Zollikofen,1250,3 ½,NaN
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/beaulieustrasse-47-3012-bern/602225/,Beaulieustrasse 47,3012,Bern,1950,3 ½,60 m²
1 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/3013-bern/602135/,no street available,3013,Bern,900,1 ½,NaN
"3 ½ Zimmer-Wohnung in / Bern, NOT furnished mieten",/de/wohnung/landhausweg-6-3007-bern-not-furnished/602129/,Landhausweg 6,NOT,furnished,1550,3 ½,NaN
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/eigerstrasse-68-3007-bern/602057/,Eigerstrasse 68,3007,Bern,1690,3 ½,76 m²
2 ½ Zimmer-Wohnung in Köniz mieten,/de/wohnung/feldeggstrasse-24-3098-koniz/593763/,Feldeggstrasse 24,3098,Köniz,1350,2 ½,52 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/friedlistrasse-16-3006-bern/601970/,Friedlistrasse 16,3006,Bern,1730,2,NaN
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/frankenstrasse-3018-bern/601961/,Frankenstrasse,3018,Bern,1090,2,57 m²
2 ½ Zimmer-Wohnung in Kehrsatz mieten,/de/wohnung/3122-kehrsatz/601876/,no street available,3122,Kehrsatz,1280,2 ½,58 m²
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/cacilienstrasse-21-3007-bern/601861/,Cäcilienstrasse 21,3007,Bern,1400,3,54 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/sulgenrain-12-3007-bern/601854/,Sulgenrain 12,3007,Bern,1580,2 ½,63 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/pappelweg-44-3013-bern/601791/,Pappelweg 44,3013,Bern,1230,2,NaN
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/3012-bern/601780/,no street available,3012,Bern,1290,2 ½,46 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/postgasse-54-3011-bern/601749/,Postgasse 54,3011,Bern,2070,2 ½,47 m²
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/randweg-15-3013-bern/601742/,Randweg 15,3013,Bern,760,1,NaN
3 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/dorfstrasse-5-3084-wabern/601634/,Dorfstrasse 5,3084,Wabern,1732,3 ½,83 m²
