Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/hebelstr-82-4056-basel/599974/,Hebelstr. 82,4056,Basel,1500,2 ½,52 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/andlauerstrasse-10-4057-basel/550127/,Andlauerstrasse 10,4057,Basel,1520,3,70 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/general-guisan-strasse-136-4054-basel/599952/,General Guisan - Strasse 136,4054,Basel,896,1,30 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/tangentenweg-44-4058-basel/599869/,Tangentenweg 44,4058,Basel,1367,2 ½,52 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/lehenmattstr-55-4052-basel/599868/,Lehenmattstr. 55,4052,Basel,1215,2,47 m²
4 Zimmer-Wohnung in Basel mieten,/de/wohnung/4055-basel/599682/,no street available,4055,Basel,2100,4,NaN
2 ½ Zimmer-Wohnung in Oberwil BL mieten,/de/wohnung/langegasse-123-4104-oberwil-bl/599526/,Langegasse 123,4104,Oberwil,2240,2 ½,86 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/claragraben-138-4057-basel/596914/,Claragraben 138,4057,Basel,1720,3,73 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/st-jakobsstrasse-189-4052-basel/598766/,St. Jakobsstrasse 189,4052,Basel,1410,2 ½,51 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/st-jakobsstrasse-187-4052-basel/599112/,St. Jakobsstrasse 187,4052,Basel,1885,3 ½,71 m²
1 Zimmer-Wohnung in Binningen mieten,/de/wohnung/hauptstrasse-116-4102-binningen/599523/,Hauptstrasse 116,4102,Binningen,400,1,15 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/st-jakobsstrasse-193-4052-basel/599522/,St. Jakobsstrasse 193,4052,Basel,2035,3 ½,75 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/4051-basel/599510/,no street available,4051,Basel,1260,1,37 m²
4 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/jurastrasse-10-4053-basel/599508/,Jurastrasse 10,4053,Basel,2500,4 ½,120 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/beinwilerstrasse-14-4053-basel/599487/,Beinwilerstrasse 14,4053,Basel,1270,3,57 m²
4 Zimmer-Wohnung in Basel mieten,/de/wohnung/markircherstrasse-52-4055-basel/596196/,Markircherstrasse 52,4055,Basel,1780,4,76 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/lehenmattstr-201-4052-basel/599394/,Lehenmattstr. 201,4052,Basel,1240,2,47 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/spalenring-95-4055-basel/599379/,Spalenring 95,4055,Basel,1660,3 ½,80 m²
4 Zimmer-Wohnung in Basel mieten,/de/wohnung/oberalpstrasse-113-4054-basel/599378/,Oberalpstrasse 113,4054,Basel,1740,4,85 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/delsbergerallee-7-4053-basel/599376/,Delsbergerallee 7,4053,Basel,1375,2 ½,66 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/friedensgasse-24-4056-basel/599364/,Friedensgasse 24,4056,Basel,1930,3,77 m²
4 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/sierenzerstrasse-9-4055-basel/596089/,Sierenzerstrasse 9,4055,Basel,2060,4 ½,118 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/4052-basel/599312/,no street available,4052,Basel,600,2,50 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/altrheinweg-44-4057-basel/599297/,Altrheinweg 44,4057,Basel,1450,2 ½,48 m²
4 Zimmer-Wohnung in Basel mieten,/de/wohnung/st-alban-ring-152-4052-basel/599174/,St. Alban-Ring 152,4052,Basel,2230,4,110 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/wettsteinallee-96-4058-basel/599160/,Wettsteinallee 96,4058,Basel,1230,2,NaN
