Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
2 Zimmer-Wohnung in Zürich mieten,/de/wohnung/renggerstrasse-86-8038-zurich/602526/,Renggerstrasse 86,8038,Zürich,2080,2,55 m²
3 Zimmer-Wohnung in Zurich mieten,/de/wohnung/glatttalstrasse-64-8052-zurich/602525/,Glatttalstrasse 64,8052,Zurich,1750,3,62 m²
2 ½ Zimmer-Wohnung in Zollikon mieten,/de/wohnung/dufourstrasse-46-8702-zollikon/602496/,Dufourstrasse 46,8702,Zollikon,3175,2 ½,90 m²
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/wiedingstrasse-89-8045-zurich/602204/,Wiedingstrasse 89,8045,Zürich,1832,3 ½,62 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/luegislandstrasse-84-8051-zurich/601316/,Luegislandstrasse 84,8051,Zürich,1590,2 ½,58 m²
1 Zimmer-Wohnung in Zürich mieten,/de/wohnung/hornlistrasse-2-8057-zurich/602442/,Hörnlistrasse 2,8057,Zürich,1287,1,NaN
3 Zimmer-Wohnung in Zürich mieten,/de/wohnung/dienerstrasse-15-8004-zurich/602261/,Dienerstrasse 15,8004,Zürich,2130,3,71 m²
2 ½ Zimmer-Wohnung in Kilchberg mieten,/de/wohnung/kreuzstrasse-23b-8802-kilchberg/602229/,Kreuzstrasse 23b,8802,Kilchberg,2496,2 ½,61 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/grundstrasse-20-8048-zurich/602227/,Grundstrasse 20,8048,Zürich,1490,2 ½,62 m²
1 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/friedheimstrasse-1-8057-zurich/602180/,Friedheimstrasse 1,8057,Zürich,1680,1 ½,39 m²
2 ½ Zimmer-Wohnung in Zollikon mieten,/de/wohnung/rotfluhstrasse-24-8702-zollikon/602134/,Rotfluhstrasse 24,8702,Zollikon,1605,2 ½,NaN
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/birmensdorferstrasse-577-8055-zurich/602105/,Birmensdorferstrasse 577,8055,Zürich,1550,2 ½,NaN
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/langstrasse-215-8005-zurich/602087/,Langstrasse 215,8005,Zürich,3350,3 ½,100 m²
1 Zimmer-Wohnung in Zürich mieten,/de/wohnung/hatzlergasse-18-8048-zurich/602060/,Hätzlergasse 18,8048,Zürich,1090,1,NaN
4 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/oerlikonerstrasse-55-8057-zurich/602049/,Oerlikonerstrasse 55,8057,Zürich,3650,4 ½,110 m²
3 ½ Zimmer-Wohnung in Uitikon Waldegg mieten,/de/wohnung/bahnweg-4-8142-uitikon-waldegg/602045/,Bahnweg 4,8142,Uitikon,2300,3 ½,86 m²
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/auhofstrasse-9-8051-zurich/602008/,Auhofstrasse 9,8051,Zürich,1918,3 ½,90 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/badenerstrasse-717-8048-zurich/592934/,Badenerstrasse 717,8048,Zürich,2195,2 ½,83 m²
2 Zimmer-Wohnung in Wallisellen mieten,/de/wohnung/8304-wallisellen/601973/,no street available,8304,Wallisellen,1210,2,34 m²
3 ½ Zimmer-Wohnung in Zurich mieten,/de/wohnung/schaffhauserstrasse-232-8057-zurich/601299/,Schaffhauserstrasse 232,8057,Zurich,2140,3 ½,69 m²
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/wallisellenstrasse-389-8050-zurich/601906/,Wallisellenstrasse 389,8050,Zürich,2071,3 ½,75 m²
1 ½ Zimmer-Wohnung in Zurich mieten,/de/wohnung/8049-zurich/601899/,no street available,8049,Zurich,1105,1 ½,29 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/allenmoosstrasse-95-8057-zurich/601828/,Allenmoosstrasse 95,8057,Zürich,2100,2 ½,72 m²
1 ½ Zimmer-Wohnung in Zurich mieten,/de/wohnung/tulpenstrasse-43-8051-zurich/601779/,Tulpenstrasse 43,8051,Zurich,1595,1 ½,38 m²
2 ½ Zimmer-Wohnung in Bonstetten mieten,/de/wohnung/isenbachweg-8-8906-bonstetten/601724/,Isenbachweg 8,8906,Bonstetten,1840,2 ½,72 m²
1 Zimmer-Wohnung in Zürich mieten,/de/wohnung/kyburgstrasse-28-8037-zurich/601720/,Kyburgstrasse 28,8037,Zürich,1011,1,30 m²
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/riedenhaldenstrasse-252-8046-zurich/601701/,Riedenhaldenstrasse 252,8046,Zürich,1850,3 ½,65 m²
5 Zimmer-Wohnung in Zürich mieten,/de/wohnung/albisriederstr-16-8003-zurich/601693/,Albisriederstr. 16,8003,Zürich,2201,5,118 m²
2 Zimmer-Wohnung in Zürich mieten,/de/wohnung/8005-zurich/601658/,no street available,8005,Zürich,2240,2,60 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/freiestrasse-48-8032-zurich/579256/,Freiestrasse  48,8032,Zürich,2590,2 ½,63 m²
4 Zimmer-Wohnung in Zürich mieten,/de/wohnung/wehntalerstrasse-374-8046-zurich/601521/,Wehntalerstrasse 374,8046,Zürich,2311,4,90 m²
4 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/hagenholzstrasse-82-8050-zurich/599254/,Hagenholzstrasse 82,8050,Zürich,2515,4 ½,116 m²
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/hagenholzstrasse-70-8050-zurich/599247/,Hagenholzstrasse 70,8050,Zürich,1975,3 ½,89 m²
4 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/hagenholzstrasse-78-8050-zurich/599283/,Hagenholzstrasse 78,8050,Zürich,2590,4 ½,119 m²
3 Zimmer-Wohnung in Zürich mieten,/de/wohnung/gloriastr-88-8044-zurich/601427/,Gloriastr. 88,8044,Zürich,2750,3,85 m²
3 ½ Zimmer-Wohnung in Schlieren mieten,/de/wohnung/zurcherstr-42-8952-schlieren/596242/,Zürcherstr. 42,8952,Schlieren,1500,3 ½,81 m²
4 ½ Zimmer-Wohnung in Schlieren mieten,/de/wohnung/zurcherstr-42-8952-schlieren/596839/,Zürcherstr. 42,8952,Schlieren,1600,4 ½,93 m²
3 Zimmer-Wohnung in Zürich mieten,/de/wohnung/nordstrasse-88-8037-zurich/598791/,Nordstrasse 88,8037,Zürich,2350,3,62 m²
4 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/bluntschlisteig-1-8002-zurich/601304/,Bluntschlisteig 1,8002,Zürich,4650,4 ½,105 m²
2 ½ Zimmer-Wohnung in Kilchberg mieten,/de/wohnung/8802-kilchberg/601254/,no street available,8802,Kilchberg,1846,2 ½,NaN
3 Zimmer-Maisonette in Zürich mieten,/de/wohnung/margrit-rainer-str-17-8050-zurich/601239/,Margrit Rainer-Str. 17,8050,Zürich,2100,3,88 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/thujastrasse-14-8038-zurich/601231/,Thujastrasse 14,8038,Zürich,2000,2 ½,60 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/ausserdorfstrasse-48-8052-zurich/591428/,Ausserdorfstrasse 48,8052,Zürich,2530,2 ½,69 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/ausserdorfstrasse-48-8052-zurich/591421/,Ausserdorfstrasse 48,8052,Zürich,2020,2 ½,65 m²
4 ½ Zimmer-Wohnung in Gockhausen mieten,/de/wohnung/im-langwil-4-8044-gockhausen/576688/,Im Langwil 4,8044,Gockhausen,2980,4 ½,115 m²
4 ½ Zimmer-Attikawohnung in Zürich mieten,/de/wohnung/im-struppen-8-8048-zurich/596918/,Im Struppen 8,8048,Zürich,3580,4 ½,108 m²
1 Zimmer-Wohnung in Zürich mieten,/de/wohnung/speerstrasse-50-8038-zurich/601086/,Speerstrasse 50,8038,Zürich,1230,1,20 m²
2 Zimmer-Wohnung in Zürich mieten,/de/wohnung/herrligstrasse-20-8048-zurich/596299/,Herrligstrasse 20,8048,Zürich,1560,2,49 m²
2 Zimmer-Wohnung in Küsnacht mieten,/de/wohnung/dorfstrasse-22-8700-kusnacht/600975/,Dorfstrasse 22,8700,Küsnacht,1900,2,50 m²
1 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/badenerstrasse-276-8004-zurich/600966/,Badenerstrasse 276,8004,Zürich,1450,1 ½,NaN
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/hagenholzstrasse-82-8050-zurich/557054/,Hagenholzstrasse 82,8050,Zürich,2190,3 ½,NaN
3 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/etzelsteig-1-8038-zurich/600897/,Etzelsteig 1,8038,Zürich,3000,3 ½,75 m²
2 Zimmer-Wohnung in Zürich mieten,/de/wohnung/sihlhallenstrasse-19-8004-zurich/594749/,Sihlhallenstrasse 19,8004,Zürich,1813,2,57 m²
2 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/ackerstrasse-44-8005-zurich/597925/,Ackerstrasse 44,8005,Zürich,1930,2 ½,60 m²
4 ½ Zimmer-Wohnung in Zürich mieten,/de/wohnung/kaferholzstrasse-58-8057-zurich/600816/,Käferholzstrasse 58,8057,Zürich,3975,4 ½,114 m²
3 Zimmer-Wohnung in Zürich mieten,/de/wohnung/langackerstrasse-48-8057-zurich/600779/,Langackerstrasse 48,8057,Zürich,2350,3,65 m²
4 Zimmer-Wohnung in Zürich mieten,/de/wohnung/bruderwiesweg-2-8041-zurich/600751/,Bruderwiesweg 2,8041,Zürich,2200,4,80 m²
