Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Renggerstrasse 86,8038,Zürich,2,55,2080
Glatttalstrasse 64,8052,Zürich,3,62,1750
Wiedingstrasse 89,8045,Zürich,3.5,62,1832
Luegislandstrasse 84,8051,Zürich,2.5,58,1590
Hörnlistrasse 2,8057,Zürich,1,,1287
Dienerstrasse 15,8004,Zürich,3,71,2130
Grundstrasse 20,8048,Zürich,2.5,62,1490
Friedheimstrasse 1,8057,Zürich,1.5,39,1680
Birmensdorferstrasse 577,8055,Zürich,2.5,,1550
Langstrasse 215,8005,Zürich,3.5,100,3350
Hätzlergasse 18,8048,Zürich,1,,1090
Oerlikonerstrasse 55,8057,Zürich,4.5,110,3650
Auhofstrasse 9,8051,Zürich,3.5,90,1918
Badenerstrasse 717,8048,Zürich,2.5,83,2195
Schaffhauserstrasse 232,8057,Zürich,3.5,69,2140
Wallisellenstrasse 389,8050,Zürich,3.5,75,2071
,8049,Zürich,1.5,29,1105
Allenmoosstrasse 95,8057,Zürich,2.5,72,2100
Tulpenstrasse 43,8051,Zürich,1.5,38,1595
Kyburgstrasse 28,8037,Zürich,1,30,1011
Riedenhaldenstrasse 252,8046,Zürich,3.5,65,1850
Albisriederstr. 16,8003,Zürich,5,118,2201
,8005,Zürich,2,60,2240
Freiestrasse  48,8032,Zürich,2.5,63,2590
Wehntalerstrasse 374,8046,Zürich,4,90,2311
Hagenholzstrasse 82,8050,Zürich,4.5,116,2515
Hagenholzstrasse 70,8050,Zürich,3.5,89,1975
Hagenholzstrasse 78,8050,Zürich,4.5,119,2590
Gloriastr. 88,8044,Zürich,3,85,2750
Nordstrasse 88,8037,Zürich,3,62,2350
Bluntschlisteig 1,8002,Zürich,4.5,105,4650
Margrit Rainer-Str. 17,8050,Zürich,3,88,2100
Thujastrasse 14,8038,Zürich,2.5,60,2000
Ausserdorfstrasse 48,8052,Zürich,2.5,69,2530
Ausserdorfstrasse 48,8052,Zürich,2.5,65,2020
Im Struppen 8,8048,Zürich,4.5,108,3580
Speerstrasse 50,8038,Zürich,1,20,1230
Herrligstrasse 20,8048,Zürich,2,49,1560
Badenerstrasse 276,8004,Zürich,1.5,,1450
Hagenholzstrasse 82,8050,Zürich,3.5,,2190
Etzelsteig 1,8038,Zürich,3.5,75,3000
Sihlhallenstrasse 19,8004,Zürich,2,57,1813
Ackerstrasse 44,8005,Zürich,2.5,60,1930
Käferholzstrasse 58,8057,Zürich,4.5,114,3975
Langackerstrasse 48,8057,Zürich,3,65,2350
Bruderwiesweg 2,8041,Zürich,4,80,2200
Bruderwiesweg 2,8041,Zürich,4,75,2100
Ueberlandstrasse 75,8050,Zürich,1.5,31,1300
Forchstr. 28,8008,Zürich,3.5,81,3387
Birmensdorferstrasse 529b,8055,Zürich,2.5,,1800
Feldblumenweg 21,8048,Zürich,3,65,1915
Aemtlerstrasse 94,8003,Zürich,3.5,,2180
Buckhauserstrasse 27,8048,Zürich,2,72,1950
Forchstrasse 347,8008,Zürich,4,81,2790
Bachmannweg 1/1a,8046,Zürich,3.5,96,2320
Badenerstrasse 427,8003,Zürich,2,56,
Carl-Spitteler-Str. 75,8053,Zürich,2,88,2350
Spirgartenstrasse 6,8048,Zürich,3.5,108,2990
Zentralstrasse 74,8003,Zürich,3.5,,2460
Fritz Heeb-Weg 5,8050,Zürich,3.5,101,2470
Wannerstr. 24,8045,Zürich,2.5,105,2866
Wannerstr. 22,8045,Zürich,2.5,92,2498
Badenerstrasse 565,8048,Zürich,2.5,53,2070
Überlandstrasse 285,8051,Zürich,1.5,50,1477
Bachmannweg 7,8046,Zürich,3.5,96,2360
Jenatschstrasse 3,8002,Zürich,2.5,72,3230
Döltschiweg 23,8055,Zürich,3.5,91,3250
Luegislandstr. 56,8051,Zürich,4,91,2004
Hädrichstr. 7,8047,Zürich,3.5,90,2360
Starengasse 5,8052,Zürich,3.5,75,2590
