city,plz,rooms,chf/m2
bern,3004,1.5,29.069767441860463
bern,3004,2.0,26.58916256157635
bern,3004,2.5,23.21522309711286
bern,3004,3.0,22.516411378555798
bern,3004,3.5,20.583941605839417
bern,3004,4.5,
bern,3005,1.0,
bern,3005,1.5,42.131147540983605
bern,3005,2.0,38.21785714285714
bern,3005,2.5,27.850622406639005
bern,3005,3.5,24.444444444444443
bern,3005,4.0,22.93388429752066
bern,3005,4.5,22.916666666666668
bern,3005,5.5,27.77777777777778
bern,3005,7.0,20.666666666666668
bern,3006,1.0,29.964774951076322
bern,3006,1.5,31.0625
bern,3006,2.0,24.690217391304348
bern,3006,2.5,25.68210262828536
bern,3006,3.0,23.986414041271942
bern,3006,3.5,23.175802139037433
bern,3006,4.0,21.458148476782018
bern,3006,4.5,26.172130224174833
bern,3006,5.0,25.03875968992248
bern,3006,5.5,24.62121212121212
bern,3006,6.5,27.073863636363637
bern,3007,1.0,32.84412878787879
bern,3007,1.5,57.674418604651166
bern,3007,2.0,26.624828845276127
bern,3007,2.5,24.86293057290737
bern,3007,3.0,21.673521912160716
bern,3007,3.5,23.053508053508054
bern,3007,4.0,23.96875
bern,3007,4.5,21.73228346456693
bern,3008,1.0,22.668874172185433
bern,3008,1.5,
bern,3008,2.0,32.53787878787879
bern,3008,2.5,24.384912959381047
bern,3008,3.0,21.929549902152644
bern,3008,3.5,23.412103746397694
bern,3008,4.5,24.6875
bern,3011,1.0,30.439814814814813
bern,3011,1.5,39.88
bern,3011,2.0,31.79012016021362
bern,3011,2.5,28.802083333333336
bern,3011,3.0,28.546946724161916
bern,3011,3.5,24.8779296875
bern,3011,4.0,25.716715257531586
bern,3011,4.5,28.938679245283016
bern,3011,5.0,17.272727272727273
bern,3011,5.5,34.715025906735754
bern,3011,7.5,23.363636363636363
bern,3012,1.0,35.02930402930403
bern,3012,1.5,32.72210743801653
bern,3012,2.0,27.95152659741895
bern,3012,2.5,26.640159045725646
bern,3012,3.0,27.879184100418406
bern,3012,3.5,26.705191360363774
bern,3012,4.0,27.743902439024392
bern,3012,10.5,
bern,3013,1.0,39.79035639412997
bern,3013,1.5,
bern,3013,2.0,26.148936170212767
bern,3013,2.5,26.39073359073359
bern,3013,3.0,26.62121811350603
